Row,coverage,max-rule-length,normalized-clustering-cost,overlap,weighted-average-rule-length
forest_depth_2,0.8169170840289371,2.0,2.8446882121572155,1.255449591280654,2.0
forest_depth_3,0.8141346688925988,3.0,2.605293068149631,1.1079972658920028,3.0
forest_depth_4,0.8007790762381747,4.0,2.4254811985936757,1.0458651841556637,4.0
forest_depth_imm,0.803561491374513,9.0,2.4264691951031243,1.0325484764542936,4.934942991281019
imm,1.0,9.0,3.4726036376805465,1.0,6.915971062882582
outlier,0.800222593210907,8.0,3.168981577510941,1.0,6.04798331015299
