,CART,Unsupervised,Unsupervised Obl.,Centroid,Centroid Obl.,Unsupervised Forest,Centroid Forest
7,1,2,2,1,1,3,1
8,1,2,2,1,1,2,2
9,1,1,1,1,1,2,2
10,1,1,1,1,1,2,1
11,1,1,1,1,1,2,1
12,2,1,1,1,1,2,3
13,2,1,1,1,1,2,3
14,2,1,1,1,1,1,3
15,2,1,1,1,1,1,1
16,2,1,1,1,1,1,1
17,1,1,1,1,1,1,1
18,1,1,1,2,1,1,1
19,1,1,1,2,1,1,1
20,1,1,1,2,1,1,2
21,1,1,1,2,1,1,2
22,1,1,1,2,1,1,2
23,1,1,1,2,1,1,2
24,1,1,1,2,1,1,2
25,1,1,1,2,1,1,2
26,1,1,1,1,1,1,2
27,1,1,1,1,1,1,2
28,1,1,1,1,1,1,2
29,1,1,1,1,1,1,3
30,1,1,1,1,1,1,1
31,1,1,1,1,1,1,1
32,1,1,1,1,1,1,1
