,CART,Unsupervised,Unsupervised Obl.,Centroid,Centroid Obl.
15,1,3,2,1,1
16,1,2,2,1,1
17,1,3,2,1,1
18,1,2,3,1,1
19,1,2,2,1,1
20,2,4,2,1,1
21,2,4,2,1,1
22,2,2,2,1,1
23,2,2,2,1,1
24,2,2,2,1,1
25,2,2,2,1,1
26,2,2,2,1,1
27,2,2,2,1,1
28,2,2,2,1,1
29,2,2,2,1,1
30,2,2,2,1,1
31,2,2,2,1,1
32,2,2,2,1,1
