,IMM,RandomIMM,ExKMC,CART,Unsupervised,Unsupervised Obl.,Centroid,Centroid Obl.,Hybrid,Hybrid Obl.
8,7,7,7,6,4,4,5,4,5,4
9,7,7,7,6,5,5,5,4,5,4
10,7,7,7,7,5,5,5,4,5,4
11,7,7,8,7,5,5,5,4,5,4
12,7,7,8,7,5,5,5,4,6,4
13,7,7,8,7,6,5,5,5,6,4
14,7,7,9,7,6,5,6,5,6,5
15,7,7,9,7,6,5,6,5,6,5
16,7,7,10,7,6,6,7,6,6,5
17,7,7,10,8,6,6,7,6,6,5
18,7,7,10,9,6,6,7,6,6,5
19,7,7,10,9,6,6,7,6,7,6
20,7,7,10,9,6,6,7,6,8,6
21,7,7,10,9,7,6,7,6,8,6
22,7,7,11,9,7,6,7,6,8,6
23,7,7,11,9,7,7,7,6,8,6
24,7,7,11,9,7,7,7,6,8,6
