,IMM,RandomIMM,ExKMC,CART,Unsupervised,Unsupervised Obl.,Centroid,Centroid Obl.
5,4,3,4,3,3,3,3,3
6,4,3,5,4,3,4,3,3
7,4,3,5,5,3,4,4,4
8,4,3,6,5,4,4,4,4
9,4,3,7,5,4,4,4,4
10,4,3,7,5,5,4,5,5
11,4,3,7,6,5,4,5,5
12,4,3,7,6,5,4,6,5
13,4,3,7,6,5,4,6,6
14,4,3,8,6,5,4,6,7
15,4,3,8,6,5,5,6,7
16,4,3,8,6,5,5,6,8
17,4,3,8,6,6,5,6,8
18,4,3,9,6,6,5,6,8
19,4,3,9,6,6,6,6,8
20,4,3,9,6,6,6,6,8
21,4,3,9,6,6,6,7,8
22,4,3,9,6,6,6,7,8
23,4,3,9,6,6,6,7,8
24,4,3,9,6,6,6,7,8
25,4,3,9,6,6,6,8,8
26,4,3,9,6,6,6,8,8
27,4,3,9,6,6,6,8,8
28,4,3,9,6,7,6,8,8
29,4,3,9,6,7,6,9,8
30,4,3,9,6,7,6,9,8
31,4,3,9,6,7,6,10,8
32,4,3,9,6,7,6,10,9
