,IMM,RandomIMM,CART,Unsupervised,Unsupervised Obl.,Centroid,Centroid Obl.,Hybrid,Hybrid Obl.
3,,,145.9868400292828,102.94377508606682,95.32326548627528,107.63380969453318,97.95889335108603,,97.95889335108603
4,,,128.74312320986647,95.73390961913321,86.86906367446424,90.82624652160679,84.15284952004544,91.16733767513341,84.2235278436215
5,,,111.00519794722979,89.26026810934023,83.59982906159924,84.0195516142938,81.69201830152286,84.36737564537161,81.68650500899668
6,,,98.99856598434313,87.80421404096491,84.45567836857481,81.969747248162,80.3323851387937,82.81045543375355,80.66195162850386
7,92.1572631248109,104.99616026188292,86.64999164675558,87.03947720618756,84.45567836857481,81.04898270080729,80.1185308215469,82.18471831049823,80.41482383716449
8,92.1572631248109,104.99616026188292,86.52377048113932,87.03947720618756,84.45567836857481,81.04898270080729,80.1185308215469,81.91244089005292,80.41482383716449
