,IMM,RandomIMM,ExKMC,CART,Unsupervised,Unsupervised Obl.,Centroid,Centroid Obl.
7,6,6,6,4,3,4,3,4
8,6,6,6,5,4,4,4,5
9,6,6,6,5,4,4,4,5
10,6,6,7,6,5,4,4,5
11,6,6,8,6,5,4,5,5
12,6,6,8,6,5,4,5,5
13,6,6,8,6,5,4,5,6
14,6,6,8,6,5,4,5,7
15,6,6,8,6,5,5,6,7
16,6,6,8,6,5,5,6,7
17,6,6,9,6,6,5,6,7
18,6,6,9,6,6,5,6,7
19,6,6,9,7,6,6,6,7
20,6,6,9,7,6,6,6,7
21,6,6,9,8,6,6,6,7
22,6,6,10,8,6,6,7,7
23,6,6,10,8,6,6,8,7
24,6,6,10,8,6,6,8,7
25,6,6,10,8,6,6,8,7
26,6,6,10,8,6,6,8,7
27,6,6,10,8,6,6,8,7
28,6,6,10,8,7,6,8,8
29,6,6,10,8,7,6,8,9
30,6,6,11,8,7,6,9,9
31,6,6,11,8,7,6,9,9
32,6,6,12,8,7,6,9,9
