,k-means,IMM,RandomIMM,ExKMC,CART,Unsupervised,Unsupervised Obl.,Centroid,Centroid Obl.
5,127.17891285579626,134.65564403496103,145.3489769798892,134.65564403496103,141.86263030542375,138.81844690411324,151.07520655141548,146.20972118782075,145.89082893315305
6,127.17891285579626,134.65564403496103,145.3489769798892,132.3368219361967,135.47143546194502,138.81844690411324,140.0389674825346,133.6810932518462,135.6698705400238
7,127.17891285579626,134.65564403496103,145.3489769798892,130.43330934734908,135.47143546194502,138.81844690411324,140.0389674825346,132.17874196118416,127.61461238895056
8,127.17891285579626,134.65564403496103,145.3489769798892,129.8496011163007,134.5703475485955,138.81844690411324,136.08062352322867,131.5832235781381,127.50823566317443
9,127.17891285579626,134.65564403496103,145.3489769798892,129.27249661551133,134.53323854857368,138.81844690411324,137.9272006666323,130.53158193417664,127.38375270927091
10,127.17891285579626,134.65564403496103,145.3489769798892,128.73328570826567,134.23145062975303,138.81844690411324,134.1140783231805,129.95183618797714,127.23474929508552
11,127.17891285579626,134.65564403496103,145.3489769798892,128.4278257448149,132.3380608396519,138.33258588738698,134.74243556019982,129.4012290498362,127.23474929508552
12,127.17891285579626,134.65564403496103,145.3489769798892,128.13390947521643,131.80558975060683,138.33258588738698,134.74243556019985,129.0709570831022,127.20586476257162
13,127.17891285579626,134.65564403496103,145.3489769798892,127.85828458083675,131.50989870784971,138.33258588738698,134.74243556019985,129.0709570831022,127.17891285579626
14,127.17891285579626,134.65564403496103,145.3489769798892,127.66753298321521,130.98928944145325,137.1983801845629,131.9429778342059,128.6749102307739,127.17891285579626
15,127.17891285579626,134.65564403496103,145.3489769798892,127.50345389954109,130.85583934700762,137.1983801845629,131.9429778342059,128.3278675365389,127.17891285579626
16,127.17891285579626,134.65564403496103,145.3489769798892,127.38037427555668,130.66796526307454,137.1983801845629,131.9429778342059,128.08003525471221,127.17891285579626
17,127.17891285579626,134.65564403496103,145.3489769798892,127.29976548757838,129.1222278611656,137.1983801845629,129.91136780339758,128.08003525471221,127.17891285579626
18,127.17891285579626,134.65564403496103,145.3489769798892,127.23184442782687,127.17891285579626,135.57184180114206,129.91136780339758,127.8091248075473,127.17891285579626
19,127.17891285579626,134.65564403496103,145.3489769798892,127.18391070040744,127.17891285579626,135.57184180114206,129.91136780339758,127.8091248075473,127.17891285579626
20,127.17891285579626,134.65564403496103,145.3489769798892,127.18391070040744,127.17891285579626,133.07827798963405,129.91136780339758,127.62728192611608,127.17891285579626
21,127.17891285579626,134.65564403496103,145.3489769798892,127.17891285579626,127.17891285579626,133.07827798963405,129.91136780339758,127.50689600285878,127.17891285579626
22,127.17891285579626,134.65564403496103,145.3489769798892,127.17891285579626,127.17891285579626,133.07827798963405,129.91136780339758,127.50689600285878,127.17891285579626
23,127.17891285579626,134.65564403496103,145.3489769798892,127.17891285579626,127.17891285579626,133.07827798963405,129.91136780339758,127.37579785008893,127.17891285579626
24,127.17891285579626,134.65564403496103,145.3489769798892,127.17891285579626,127.17891285579626,131.4954192767706,129.91136780339758,127.37579785008893,127.17891285579626
25,127.17891285579626,134.65564403496103,145.3489769798892,127.17891285579626,127.17891285579626,131.4954192767706,129.91136780339758,127.26423115746545,127.17891285579626
26,127.17891285579626,134.65564403496103,145.3489769798892,127.17891285579626,127.17891285579626,131.4954192767706,129.91136780339758,127.26423115746545,127.17891285579626
27,127.17891285579626,134.65564403496103,145.3489769798892,127.17891285579626,127.17891285579626,131.4954192767706,129.91136780339758,127.21335070446048,127.17891285579626
28,127.17891285579626,134.65564403496103,145.3489769798892,127.17891285579626,127.17891285579626,131.4954192767706,129.91136780339758,127.21335070446048,127.17891285579624
29,127.17891285579626,134.65564403496103,145.3489769798892,127.17891285579626,127.17891285579626,131.4954192767706,129.7299473304646,127.17891285579626,127.17891285579624
30,127.17891285579626,134.65564403496103,145.3489769798892,127.17891285579626,127.17891285579626,131.4954192767706,129.7299473304646,127.17891285579626,127.17891285579624
31,127.17891285579626,134.65564403496103,145.3489769798892,127.17891285579626,127.17891285579626,131.4954192767706,129.37084218903757,127.17891285579626,127.17891285579624
32,127.17891285579626,134.65564403496103,145.3489769798892,127.17891285579626,127.17891285579626,131.4954192767706,129.37084218903757,127.17891285579626,127.17891285579624
