,IMM,RandomIMM,ExKMC,CART,Unsupervised,Unsupervised Obl.,Centroid,Centroid Obl.,Unsupervised Forest,Centroid Forest
7,6,6,6,4,3,4,3,4,3,3
8,6,6,6,5,4,4,4,5,3,3
9,6,6,6,5,4,4,4,5,3,3
10,6,6,7,6,5,4,4,5,3,3
11,6,6,8,6,5,4,5,5,3,3
12,6,6,8,6,5,4,5,5,3,3
13,6,6,8,6,5,4,5,6,3,3
14,6,6,8,6,5,4,5,7,3,3
15,6,6,8,6,5,5,6,7,3,3
16,6,6,8,6,5,5,6,7,3,3
17,6,6,9,6,6,5,6,7,3,3
18,6,6,9,6,6,5,6,7,3,3
19,6,6,9,7,6,6,6,7,3,3
20,6,6,9,7,6,6,6,7,3,3
21,6,6,9,8,6,6,6,7,3,3
22,6,6,10,8,6,6,7,7,3,3
23,6,6,10,8,6,6,8,7,3,3
24,6,6,10,8,6,6,8,7,3,3
25,6,6,10,8,6,6,8,7,3,3
26,6,6,10,8,6,6,8,7,3,3
27,6,6,10,8,6,6,8,7,3,3
28,6,6,10,8,7,6,8,7,3,3
29,6,6,10,8,7,6,8,8,3,3
30,6,6,11,8,7,6,9,9,3,3
31,6,6,11,8,7,6,9,9,3,3
32,6,6,12,8,7,6,9,9,3,3
