,max-rule-length,weighted-avg-length,max-rule-length,weighted-avg-length,gain,cost
,KMeans,KMeans,DSCluster,DSCluster,DSCluster,DSCluster
,0,0,0,0,0,0
0.09067446300389034,,,10,7.945454545454545,107,747.7492458443115
0.09891759600424402,,,10,7.945454545454545,107,747.7492458443115
0.10716072900459768,,,10,7.945454545454545,107,747.7492458443115
0.11540386200495134,,,10,7.945454545454545,107,747.7492458443115
0.12364699500530502,,,8,6.986666666666666,75,486.6804071499567
0.1318901280056587,,,8,6.986666666666666,75,486.6804071499567
0.14013326100601237,,,8,8.0,74,480.72393905655844
0.148376394006366,,,6,6.0,38,225.34680581849767
0.1566195270067197,,,6,6.0,38,225.34680581849767
0.16486266000707336,,,6,6.0,38,225.34680581849767
0.173105793007427,,,0,,0,0.0
0.1813489260077807,,,0,,0,0.0
0.18959205900813436,,,0,,0,0.0
0.19783519200848804,,,0,,0,0.0
0.2060783250088417,,,0,,0,0.0
0.21432145800919536,,,0,,0,0.0
0.22256459100954903,,,0,,0,0.0
0.2308077240099027,,,0,,0,0.0
0.23905085701025638,,,0,,0,0.0
0.24729399001061003,,,0,,0,0.0
0.2555371230109637,,,0,,0,0.0
0.2637802560113174,,,0,,0,0.0
0.272023389011671,,,0,,0,0.0
0.28026652201202473,,,0,,0,0.0
0.28850965501237835,,,0,,0,0.0
0.2967527880127321,,,0,,0,0.0
0.3049959210130857,,,0,,0,0.0
0.3132390540134394,,,0,,0,0.0
0.32148218701379305,,,0,,0,0.0
0.3297253200141467,,,0,,0,0.0
0.3379684530145004,,,0,,0,0.0
0.346211586014854,,,0,,0,0.0
0.35445471901520775,,,0,,0,0.0
0.3626978520155614,,,0,,0,0.0
0.3709409850159151,,,0,,0,0.0
0.3791841180162687,,,0,,0,0.0
0.38742725101662245,,,0,,0,0.0
0.3956703840169761,,,0,,0,0.0
0.4039135170173297,,,0,,0,0.0
0.4121566500176834,,,0,,0,0.0
0.42039978301803704,,,0,,0,0.0
0.4286429160183908,,,0,,0,0.0
0.4368860490187444,,,0,,0,0.0
0.4451291820190981,,,0,,0,0.0
0.45337231501945174,,,0,,0,0.0
0.46161544801980536,,,0,,0,0.0
0.4698585810201591,,,0,,0,0.0
0.4781017140205127,,,0,,0,0.0
0.48634484702086644,,,0,,0,0.0
0.49458798002122006,,,0,,0,0.0
0.5028311130215738,,,0,,0,0.0
0.5110742460219274,,,0,,0,0.0
0.5193173790222811,,,0,,0,0.0
0.5275605120226348,,,0,,0,0.0
0.5358036450229884,,,0,,0,0.0
0.5440467780233421,,,0,,0,0.0
0.5522899110236957,,,0,,0,0.0
0.5605330440240495,,,0,,0,0.0
0.5687761770244031,,,0,,0,0.0
0.5770193100247568,,,0,,0,0.0
0.5852624430251104,,,0,,0,0.0
0.5935055760254642,,,0,,0,0.0
0.6017487090258178,,,0,,0,0.0
0.6099918420261715,,,0,,0,0.0
0.6182349750265251,,,0,,0,0.0
0.6264781080268788,,,0,,0,0.0
0.6347212410272325,,,0,,0,0.0
0.6429643740275861,,,0,,0,0.0
0.6512075070279398,,,0,,0,0.0
0.6594506400282935,,,0,,0,0.0
0.6676937730286472,,,0,,0,0.0
0.6759369060290008,,,0,,0,0.0
0.6841800390293545,,,0,,0,0.0
0.6924231720297082,,,0,,0,0.0
0.7006663050300618,,,0,,0,0.0
0.7089094380304155,,,0,,0,0.0
0.7171525710307691,,,0,,0,0.0
0.7253957040311229,,,0,,0,0.0
0.7336388370314765,,,0,,0,0.0
0.7418819700318302,,,0,,0,0.0
0.7501251030321838,,,0,,0,0.0
0.7583682360325374,,,0,,0,0.0
0.7666113690328912,,,0,,0,0.0
0.7748545020332448,,,0,,0,0.0
0.7830976350335985,,,0,,0,0.0
0.7913407680339521,,,0,,0,0.0
0.7995839010343059,,,0,,0,0.0
0.8078270340346595,,,0,,0,0.0
0.8160701670350131,,,0,,0,0.0
0.8243133000353668,,,0,,0,0.0
0.8325564330357205,,,0,,0,0.0
0.8407995660360742,,,0,,0,0.0
0.8490426990364278,,,0,,0,0.0
0.8572858320367815,,,0,,0,0.0
0.8655289650371352,,,0,,0,0.0
0.8737720980374889,,,0,,0,0.0
0.8820152310378425,,,0,,0,0.0
0.8902583640381961,,,0,,0,0.0
0.8985014970385499,,,0,,0,0.0
0.9067446300389035,,,0,,0,0.0
