,max-rule-length,weighted-avg-length,max-rule-length,weighted-avg-length,gain,cost
,KMeans,KMeans,DSCluster,DSCluster,DSCluster,DSCluster
,0,0,0,0,0,0
2.0000000001,,,8,6.43859649122807,216,30
2.1818181819272726,,,8,6.434782608695652,212,28
2.3636363637545457,,,8,6.43859649122807,203,25
2.5454545455818183,,,8,6.3125,184,16
2.727272727409091,,,8,6.3125,184,16
2.9090909092363635,,,8,6.3125,184,16
3.0909090910636365,,,8,6.3125,184,16
3.272727272890909,,,8,6.3125,184,16
3.4545454547181818,,,10,6.9375,153,7
3.636363636545455,,,10,6.9375,153,7
3.8181818183727274,,,10,6.9375,153,7
4.0000000002,,,10,6.9375,153,7
4.181818182027273,,,10,6.9375,153,7
4.363636363854546,,,10,6.9375,153,7
4.545454545681818,,,10,6.9375,153,7
4.727272727509091,,,10,6.9375,153,7
4.9090909093363635,,,10,6.9375,153,7
5.0909090911636365,,,10,6.9375,153,7
5.27272727299091,,,10,6.9375,153,7
5.454545454818183,,,10,6.9375,153,7
5.636363636645455,,,10,6.9375,153,7
5.818181818472728,,,10,6.9375,153,7
6.0000000003,,,10,6.9375,153,7
6.181818182127273,,,10,6.9375,153,7
6.363636363954546,,,10,6.9375,153,7
6.545454545781818,,,10,6.9375,153,7
6.727272727609091,,,10,6.9375,153,7
6.909090909436364,,,10,6.9375,153,7
7.0909090912636366,,,10,6.9375,153,7
7.27272727309091,,,10,6.9375,153,7
7.454545454918183,,,10,6.9375,153,7
7.636363636745455,,,10,6.9375,153,7
7.818181818572728,,,10,7.122994652406417,142,6
8.0000000004,,,10,6.7407407407407405,118,3
8.181818182227273,,,10,6.7407407407407405,118,3
8.363636364054546,,,10,6.7407407407407405,118,3
8.54545454588182,,,10,6.7407407407407405,118,3
8.727272727709092,,,10,6.7407407407407405,118,3
8.909090909536364,,,10,6.7407407407407405,118,3
9.090909091363638,,,10,6.7407407407407405,118,3
9.27272727319091,,,10,6.921052631578948,107,2
9.454545455018183,,,10,6.921052631578948,107,2
9.636363636845456,,,10,6.921052631578948,107,2
9.818181818672727,,,10,6.921052631578948,107,2
10.0000000005,,,10,6.9655172413793105,97,1
10.181818182327273,,,10,6.9655172413793105,97,1
10.363636364154546,,,10,6.9655172413793105,97,1
10.54545454598182,,,10,6.9655172413793105,97,1
10.727272727809092,,,10,6.9655172413793105,97,1
10.909090909636365,,,10,6.9655172413793105,97,1
11.090909091463637,,,10,7.296296296296297,86,0
11.27272727329091,,,10,7.296296296296297,86,0
11.454545455118183,,,10,7.296296296296297,86,0
11.636363636945456,,,10,7.296296296296297,86,0
11.818181818772729,,,10,7.296296296296297,86,0
12.000000000600002,,,10,7.296296296296297,86,0
12.181818182427273,,,10,7.296296296296297,86,0
12.363636364254546,,,10,7.296296296296297,86,0
12.54545454608182,,,10,7.296296296296297,86,0
12.727272727909092,,,10,7.296296296296297,86,0
12.909090909736365,,,10,7.296296296296297,86,0
13.090909091563638,,,10,7.296296296296297,86,0
13.27272727339091,,,10,7.296296296296297,86,0
13.454545455218183,,,10,7.296296296296297,86,0
13.636363637045456,,,10,7.296296296296297,86,0
13.818181818872729,,,10,7.296296296296297,86,0
14.000000000700002,,,10,7.296296296296297,86,0
14.181818182527273,,,10,7.296296296296297,86,0
14.363636364354546,,,10,7.296296296296297,86,0
14.54545454618182,,,10,7.296296296296297,86,0
14.727272728009092,,,10,7.296296296296297,86,0
14.909090909836365,,,10,7.296296296296297,86,0
15.090909091663638,,,10,7.296296296296297,86,0
15.27272727349091,,,10,7.296296296296297,86,0
15.454545455318183,,,10,7.296296296296297,86,0
15.636363637145456,,,10,7.296296296296297,86,0
15.818181818972729,,,10,7.296296296296297,86,0
16.0000000008,,,10,7.296296296296297,86,0
16.181818182627275,,,10,7.296296296296297,86,0
16.363636364454546,,,10,7.296296296296297,86,0
16.545454546281817,,,10,7.296296296296297,86,0
16.727272728109092,,,10,7.296296296296297,86,0
16.909090909936367,,,10,7.296296296296297,86,0
17.09090909176364,,,10,7.296296296296297,86,0
17.27272727359091,,,10,7.296296296296297,86,0
17.454545455418184,,,10,7.296296296296297,86,0
17.636363637245456,,,10,7.296296296296297,86,0
17.818181819072727,,,10,7.296296296296297,86,0
18.000000000900002,,,10,7.296296296296297,86,0
18.181818182727277,,,10,7.296296296296297,86,0
18.363636364554544,,,10,7.296296296296297,86,0
18.54545454638182,,,10,7.296296296296297,86,0
18.727272728209094,,,10,7.296296296296297,86,0
18.90909091003637,,,10,7.296296296296297,86,0
19.090909091863637,,,10,7.296296296296297,86,0
19.27272727369091,,,10,7.296296296296297,86,0
19.454545455518186,,,10,7.296296296296297,86,0
19.636363637345454,,,10,7.296296296296297,86,0
19.81818181917273,,,10,7.296296296296297,86,0
20.000000001,,,10,7.296296296296297,86,0
