Row,coverage,max-rule-length,normalized-clustering-cost,overlap,weighted-average-rule-length
forest_depth_2,0.8190857142857143,2.0,35.93116593121118,1.1607367099204688,2.0
forest_depth_3,0.8095428571428571,3.0,33.51434489307006,1.113150278816969,3.0
forest_depth_4,0.8351428571428572,4.0,32.46593932707652,1.0753335614095108,3.6275133621786715
forest_depth_imm,0.8234857142857143,7.0,32.379175846881346,1.0837554645756713,3.802599564604943
outlier,0.8000571428571429,7.0,37.77798611672711,1.0,5.032569102206986
