,clustering-distance,clustering-distance,clustering-distance,clustering-distance,clustering-distance
,Decision-Tree,Exp-Tree,CBA,DSCluster-Assoc,DSCluster
0,0.017300560246192694,0.039881375101922724,0.03855463347164592,0.0379746835443038,0.12318251143873919
1,0.017083563481417187,0.04009179620715958,0.04205785148138399,0.04161913953964493,0.11738724413820953
2,0.018102790709908202,0.04223546121676004,0.04486477517836403,0.04486477517836403,0.11512661412040918
3,0.0156106157447592,0.04047976011994003,0.040781223991566334,0.04082332761578045,0.09376399741203405
4,0.0192338041505563,0.040828270075488574,0.04650046294708686,0.04536652835408022,0.11046724690792488
5,0.02002945895473316,0.04276151397985218,0.03466959294948733,0.034820193637621025,0.117222351151337
6,0.018523632920381915,0.03730371656277125,0.02850451656072265,0.02789583754975376,0.09838366240805266
7,0.017313711565269996,0.03974986191114969,0.04475909537856441,0.0428968253968254,0.10270217587290759
8,0.01709671480049449,0.04021015807885531,0.044511505092417955,0.044432918395574,0.10818449842840087
9,0.018339514453299666,0.04048633577947868,0.040718740718740716,0.04100445960911077,0.10976822058284937
10,0.014683447749809305,0.03761934822062653,0.0413154238073182,0.04137718079357727,0.12281365942303324
11,0.020871143375680582,0.041696257134590596,0.03764875586007933,0.03712262939730751,0.10025601638504865
12,0.018418422367763487,0.037494410689392146,0.03502707685217191,0.03381418163875424,0.10688419417086435
13,0.018589389515768433,0.03458796917330808,0.038327205882352944,0.038302277432712216,0.09786201047059168
14,0.01690602067387359,0.042327520450301165,0.03822797411647586,0.037207087712138216,0.10308880308880308
15,0.017346589862963255,0.03946053289144901,0.04330224122295634,0.04255949442085514,0.1173032867361728
16,0.019766432573187092,0.03880296693758384,0.03869753434970826,0.03869753434970826,0.10091087282370576
17,0.01919435019332439,0.03744180541308293,0.035328613316169634,0.034630753292881455,0.10495221955467683
18,0.01702438254556932,0.04239327704568768,0.039121648116309235,0.038419117647058826,0.08784889429145823
19,0.01793839922144191,0.042958783766011734,0.04405637254901961,0.044248880654624054,0.12229249011857707
20,0.019483679213025067,0.04097951024487756,0.04232908725848392,0.041585814653730346,0.1132997518983535
21,0.01797127751913517,0.0401838554407007,0.04062932226832642,0.03937976864385922,0.11558966912146043
22,0.01666929693048213,0.035903101081038426,0.036565617307941445,0.0362413477863393,0.08405017921146954
23,0.019490254872563718,0.04268918172492701,0.04049814919380137,0.04053626762790109,0.12884244221625948
24,0.019332439043636077,0.0386714537468108,0.040654997176736304,0.04038735587511336,0.1029665672578873
25,0.016130092848312686,0.0405389410557879,0.0412847106055537,0.03965581743359521,0.0960091509913574
26,0.019588889765643495,0.038033614771561586,0.04345935095349615,0.04234261810019386,0.0901070325741218
27,0.018865567216391804,0.04058497067255846,0.03937518420277041,0.03937518420277041,0.09700542814845596
28,0.018221152581603936,0.03856624319419238,0.03751317892732034,0.03479224772938568,0.10656809171756135
29,0.017681948499434493,0.03867802940634946,0.03875968992248062,0.03763375486381323,0.10398719578214
