,max-rule-length,Weighted-Avg-Length,Coverage-Mistake-Score,Silhouette-Score,max-rule-length,Weighted-Avg-Length,Coverage-Mistake-Score,Silhouette-Score,max-rule-length,Weighted-Avg-Length,Coverage-Mistake-Score,Silhouette-Score,max-rule-length,Weighted-Avg-Length,Coverage-Mistake-Score,Silhouette-Score,max-rule-length,Weighted-Avg-Length,Coverage-Mistake-Score,Silhouette-Score,max-rule-length,Weighted-Avg-Length,Coverage-Mistake-Score,Silhouette-Score,max-rule-length,Weighted-Avg-Length,Coverage-Mistake-Score,Silhouette-Score,max-rule-length,Weighted-Avg-Length,Coverage-Mistake-Score,Silhouette-Score,max-rule-length,Weighted-Avg-Length,Coverage-Mistake-Score,Silhouette-Score,max-rule-length,Weighted-Avg-Length,Coverage-Mistake-Score,Silhouette-Score,max-rule-length,Weighted-Avg-Length,Coverage-Mistake-Score,Silhouette-Score,max-rule-length,Weighted-Avg-Length,Coverage-Mistake-Score,Silhouette-Score,max-rule-length,Weighted-Avg-Length,Coverage-Mistake-Score,Silhouette-Score,max-rule-length,Weighted-Avg-Length,Coverage-Mistake-Score,Silhouette-Score,max-rule-length,Weighted-Avg-Length,Coverage-Mistake-Score,Silhouette-Score,max-rule-length,Weighted-Avg-Length,Coverage-Mistake-Score,Silhouette-Score,max-rule-length,Weighted-Avg-Length,Coverage-Mistake-Score,Silhouette-Score,max-rule-length,Weighted-Avg-Length,Coverage-Mistake-Score,Silhouette-Score,max-rule-length,Weighted-Avg-Length,Coverage-Mistake-Score,Silhouette-Score,max-rule-length,Weighted-Avg-Length,Coverage-Mistake-Score,Silhouette-Score,max-rule-length,Weighted-Avg-Length,Coverage-Mistake-Score,Silhouette-Score,max-rule-length,Weighted-Avg-Length,Coverage-Mistake-Score,Silhouette-Score,max-rule-length,Weighted-Avg-Length,Coverage-Mistake-Score,Silhouette-Score,max-rule-length,Weighted-Avg-Length,Coverage-Mistake-Score,Silhouette-Score,max-rule-length,Weighted-Avg-Length,Coverage-Mistake-Score,Silhouette-Score,max-rule-length,Weighted-Avg-Length,Coverage-Mistake-Score,Silhouette-Score,max-rule-length,Weighted-Avg-Length,Coverage-Mistake-Score,Silhouette-Score,max-rule-length,Weighted-Avg-Length,Coverage-Mistake-Score,Silhouette-Score,max-rule-length,Weighted-Avg-Length,Coverage-Mistake-Score,Silhouette-Score,max-rule-length,Weighted-Avg-Length,Coverage-Mistake-Score,Silhouette-Score,max-rule-length,Weighted-Avg-Length,Coverage-Mistake-Score,Silhouette-Score,max-rule-length,Weighted-Avg-Length,Coverage-Mistake-Score,Silhouette-Score,max-rule-length,Weighted-Avg-Length,Coverage-Mistake-Score,Silhouette-Score,max-rule-length,Weighted-Avg-Length,Coverage-Mistake-Score,Silhouette-Score,max-rule-length,Weighted-Avg-Length,Coverage-Mistake-Score,Silhouette-Score,max-rule-length,Weighted-Avg-Length,Coverage-Mistake-Score,Silhouette-Score,max-rule-length,Weighted-Avg-Length,Coverage-Mistake-Score,Silhouette-Score,max-rule-length,Weighted-Avg-Length,Coverage-Mistake-Score,Silhouette-Score,max-rule-length,Weighted-Avg-Length,Coverage-Mistake-Score,Silhouette-Score,max-rule-length,Weighted-Avg-Length,Coverage-Mistake-Score,Silhouette-Score,max-rule-length,Weighted-Avg-Length,Coverage-Mistake-Score,Silhouette-Score
,DBSCAN,DBSCAN,DBSCAN,DBSCAN,Decision-Tree,Decision-Tree,Decision-Tree,Decision-Tree,Exp-Tree,Exp-Tree,Exp-Tree,Exp-Tree,DSCluster-Association-Rules,DSCluster-Association-Rules,DSCluster-Association-Rules,DSCluster-Association-Rules,DSCluster-Pointwise-Rules,DSCluster-Pointwise-Rules,DSCluster-Pointwise-Rules,DSCluster-Pointwise-Rules,Decision-Tree,Decision-Tree,Decision-Tree,Decision-Tree,Exp-Tree,Exp-Tree,Exp-Tree,Exp-Tree,DSCluster-Association-Rules,DSCluster-Association-Rules,DSCluster-Association-Rules,DSCluster-Association-Rules,DSCluster-Pointwise-Rules,DSCluster-Pointwise-Rules,DSCluster-Pointwise-Rules,DSCluster-Pointwise-Rules,Decision-Tree,Decision-Tree,Decision-Tree,Decision-Tree,Exp-Tree,Exp-Tree,Exp-Tree,Exp-Tree,DSCluster-Association-Rules,DSCluster-Association-Rules,DSCluster-Association-Rules,DSCluster-Association-Rules,DSCluster-Pointwise-Rules,DSCluster-Pointwise-Rules,DSCluster-Pointwise-Rules,DSCluster-Pointwise-Rules,Decision-Tree,Decision-Tree,Decision-Tree,Decision-Tree,Exp-Tree,Exp-Tree,Exp-Tree,Exp-Tree,DSCluster-Association-Rules,DSCluster-Association-Rules,DSCluster-Association-Rules,DSCluster-Association-Rules,DSCluster-Pointwise-Rules,DSCluster-Pointwise-Rules,DSCluster-Pointwise-Rules,DSCluster-Pointwise-Rules,Decision-Tree,Decision-Tree,Decision-Tree,Decision-Tree,Exp-Tree,Exp-Tree,Exp-Tree,Exp-Tree,DSCluster-Association-Rules,DSCluster-Association-Rules,DSCluster-Association-Rules,DSCluster-Association-Rules,DSCluster-Pointwise-Rules,DSCluster-Pointwise-Rules,DSCluster-Pointwise-Rules,DSCluster-Pointwise-Rules,Decision-Tree,Decision-Tree,Decision-Tree,Decision-Tree,Exp-Tree,Exp-Tree,Exp-Tree,Exp-Tree,DSCluster-Association-Rules,DSCluster-Association-Rules,DSCluster-Association-Rules,DSCluster-Association-Rules,DSCluster-Pointwise-Rules,DSCluster-Pointwise-Rules,DSCluster-Pointwise-Rules,DSCluster-Pointwise-Rules,Decision-Tree,Decision-Tree,Decision-Tree,Decision-Tree,Exp-Tree,Exp-Tree,Exp-Tree,Exp-Tree,DSCluster-Association-Rules,DSCluster-Association-Rules,DSCluster-Association-Rules,DSCluster-Association-Rules,DSCluster-Pointwise-Rules,DSCluster-Pointwise-Rules,DSCluster-Pointwise-Rules,DSCluster-Pointwise-Rules,Decision-Tree,Decision-Tree,Decision-Tree,Decision-Tree,Exp-Tree,Exp-Tree,Exp-Tree,Exp-Tree,DSCluster-Association-Rules,DSCluster-Association-Rules,DSCluster-Association-Rules,DSCluster-Association-Rules,DSCluster-Pointwise-Rules,DSCluster-Pointwise-Rules,DSCluster-Pointwise-Rules,DSCluster-Pointwise-Rules,Decision-Tree,Decision-Tree,Decision-Tree,Decision-Tree,Exp-Tree,Exp-Tree,Exp-Tree,Exp-Tree,DSCluster-Association-Rules,DSCluster-Association-Rules,DSCluster-Association-Rules,DSCluster-Association-Rules,DSCluster-Pointwise-Rules,DSCluster-Pointwise-Rules,DSCluster-Pointwise-Rules,DSCluster-Pointwise-Rules,Decision-Tree,Decision-Tree,Decision-Tree,Decision-Tree,Exp-Tree,Exp-Tree,Exp-Tree,Exp-Tree,DSCluster-Association-Rules,DSCluster-Association-Rules,DSCluster-Association-Rules,DSCluster-Association-Rules,DSCluster-Pointwise-Rules,DSCluster-Pointwise-Rules,DSCluster-Pointwise-Rules,DSCluster-Pointwise-Rules
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
8,,,127,0.03336663924375231,4,2.7238372093023258,174.0,-0.0027568337715539455,7,6.684981684981685,199.0,-0.010416574702528408,4,2.985294117647059,64.0,0.057326131222506335,10,6.666666666666667,56.0,0.04736273205945928,4,2.7238372093023258,174.0,-0.0027568337715539455,7,6.649635036496351,194.0,-0.012090828031098504,4,2.985294117647059,64.0,0.057326131222506335,8,5.571428571428571,60.0,0.03562128056624049,4,2.7238372093023258,174.0,-0.0027568337715539455,7,6.670329670329671,189.0,-0.005484842375671657,4,2.985294117647059,64.0,0.057326131222506335,7,4.525,71.0,0.05963536813879396,4,2.7238372093023258,174.0,-0.0027568337715539455,7,6.664233576642336,204.0,-0.02199205631081387,4,2.985294117647059,64.0,0.057326131222506335,7,4.914634146341464,66.0,0.03322054641929696,4,2.7238372093023258,174.0,-0.0027568337715539455,7,6.705882352941177,194.0,-0.002996912707140436,4,2.985294117647059,64.0,0.057326131222506335,10,6.0,62.0,0.041868555214350484,4,2.7238372093023258,174.0,-0.0027568337715539455,7,6.635036496350365,194.0,-0.012178569465620499,4,2.985294117647059,64.0,0.057326131222506335,7,4.782051282051282,67.0,0.03660741061509867,4,2.7238372093023258,174.0,-0.0027568337715539455,7,6.664233576642336,194.0,-0.02212347484918042,4,2.985294117647059,64.0,0.057326131222506335,8,4.7164179104477615,57.0,0.05776667529765801,4,2.7238372093023258,174.0,-0.0027568337715539455,7,6.684981684981685,199.0,-0.010416574702528408,4,2.985294117647059,64.0,0.057326131222506335,11,5.53125,56.0,0.03458162657788712,4,2.7238372093023258,174.0,-0.0027568337715539455,7,6.670329670329671,189.0,-0.005484842375671657,4,2.985294117647059,64.0,0.057326131222506335,11,6.08,66.0,0.03362561354893406,4,2.7238372093023258,174.0,-0.0027568337715539455,7,6.670329670329671,189.0,-0.006133599758746728,4,2.985294117647059,64.0,0.057326131222506335,10,5.344444444444444,68.0,0.03738182410897444
9,,,127,0.03336663924375231,4,3.13953488372093,169.0,0.0019089273311794633,7,6.684981684981685,199.0,-0.010416574702528408,4,2.9305555555555554,68.0,0.050374665736287204,10,6.590909090909091,59.0,0.04468048191945153,4,3.13953488372093,169.0,0.0019089273311794633,7,6.649635036496351,194.0,-0.012090828031098504,4,2.9305555555555554,68.0,0.050374665736287204,8,5.378378378378378,63.0,0.036296600220803235,4,3.13953488372093,169.0,0.0019089273311794633,7,6.670329670329671,189.0,-0.005484842375671657,4,2.9305555555555554,68.0,0.050374665736287204,7,4.6117647058823525,76.0,0.0405622023487308,4,3.13953488372093,169.0,0.0019089273311794633,7,6.664233576642336,204.0,-0.02199205631081387,4,2.9305555555555554,68.0,0.050374665736287204,7,4.988636363636363,70.0,0.033850637209130154,4,3.13953488372093,169.0,0.0019089273311794633,7,6.705882352941177,194.0,-0.002996912707140436,4,2.9305555555555554,68.0,0.050374665736287204,10,5.945205479452055,66.0,0.03731130422318768,4,3.13953488372093,169.0,0.0019089273311794633,7,6.635036496350365,194.0,-0.012178569465620499,4,2.9305555555555554,68.0,0.050374665736287204,9,5.5,71.0,0.03167945993584671,4,3.13953488372093,169.0,0.0019089273311794633,7,6.664233576642336,194.0,-0.02212347484918042,4,2.9305555555555554,68.0,0.050374665736287204,8,4.676056338028169,61.0,0.05681972291813127,4,3.13953488372093,169.0,0.0019089273311794633,7,6.684981684981685,199.0,-0.010416574702528408,4,2.9305555555555554,68.0,0.050374665736287204,11,5.828571428571428,60.0,0.037076437370813696,4,3.13953488372093,169.0,0.0019089273311794633,7,6.670329670329671,189.0,-0.005484842375671657,4,2.9305555555555554,68.0,0.050374665736287204,11,5.974683544303797,70.0,0.03417431431362739,4,3.13953488372093,169.0,0.0019089273311794633,7,6.670329670329671,189.0,-0.006133599758746728,4,2.9305555555555554,68.0,0.050374665736287204,10,5.767676767676767,71.0,0.03604019455439793
10,,,127,0.03336663924375231,4,3.191860465116279,204.0,-0.0017005793526165968,7,6.684981684981685,199.0,-0.010416574702528408,4,2.9367088607594938,71.0,0.047883359182151815,10,6.391304347826087,62.0,0.04246460350859547,4,3.191860465116279,204.0,-0.0017005793526165968,7,6.649635036496351,194.0,-0.012090828031098504,4,2.9367088607594938,71.0,0.047883359182151815,8,5.324675324675325,66.0,0.04367101747978485,4,3.191860465116279,204.0,-0.0017005793526165968,7,6.670329670329671,189.0,-0.005484842375671657,4,2.9367088607594938,71.0,0.047883359182151815,7,4.5227272727272725,79.0,0.0391282997972415,4,3.191860465116279,204.0,-0.0017005793526165968,7,6.664233576642336,204.0,-0.02199205631081387,4,2.9367088607594938,71.0,0.047883359182151815,7,4.797872340425532,74.0,0.0352600385748756,4,3.191860465116279,204.0,-0.0017005793526165968,7,6.705882352941177,194.0,-0.002996912707140436,4,2.9367088607594938,71.0,0.047883359182151815,10,5.6923076923076925,70.0,0.03514280961881352,4,3.191860465116279,204.0,-0.0017005793526165968,7,6.635036496350365,194.0,-0.012178569465620499,4,2.9367088607594938,71.0,0.047883359182151815,9,5.453608247422681,74.0,0.04256834873294133,4,3.191860465116279,204.0,-0.0017005793526165968,7,6.664233576642336,194.0,-0.02212347484918042,4,2.9367088607594938,71.0,0.047883359182151815,8,4.746666666666667,65.0,0.019636729747067747,4,3.191860465116279,204.0,-0.0017005793526165968,7,6.684981684981685,199.0,-0.010416574702528408,4,2.9367088607594938,71.0,0.047883359182151815,11,6.0,64.0,0.033219521455598595,4,3.191860465116279,204.0,-0.0017005793526165968,7,6.670329670329671,189.0,-0.005484842375671657,4,2.9367088607594938,71.0,0.047883359182151815,11,5.865853658536586,73.0,0.040928812900124845,4,3.191860465116279,204.0,-0.0017005793526165968,7,6.670329670329671,189.0,-0.006133599758746728,4,2.9367088607594938,71.0,0.047883359182151815,10,5.6568627450980395,74.0,0.03566253125418932
11,,,127,0.03336663924375231,4,3.296511627906977,239.0,0.002356696849624773,7,6.684981684981685,199.0,-0.010416574702528408,4,2.902439024390244,74.0,0.0488862427525219,10,6.315068493150685,65.0,0.039051775429011316,4,3.296511627906977,239.0,0.002356696849624773,7,6.649635036496351,194.0,-0.012090828031098504,4,2.902439024390244,74.0,0.0488862427525219,8,5.301204819277109,69.0,0.043070113116131875,4,3.296511627906977,239.0,0.002356696849624773,7,6.670329670329671,189.0,-0.005484842375671657,4,2.902439024390244,74.0,0.0488862427525219,7,4.472527472527473,82.0,0.03882956905840397,4,3.296511627906977,239.0,0.002356696849624773,7,6.664233576642336,204.0,-0.02199205631081387,4,2.902439024390244,74.0,0.0488862427525219,7,4.76530612244898,78.0,0.03413128131581374,4,3.296511627906977,239.0,0.002356696849624773,7,6.705882352941177,194.0,-0.002996912707140436,4,2.902439024390244,74.0,0.0488862427525219,10,5.714285714285714,74.0,0.03272544663422641,4,3.296511627906977,239.0,0.002356696849624773,7,6.635036496350365,194.0,-0.012178569465620499,4,2.902439024390244,74.0,0.0488862427525219,9,5.47,77.0,0.038034207301828236,4,3.296511627906977,239.0,0.002356696849624773,7,6.664233576642336,194.0,-0.02212347484918042,4,2.902439024390244,74.0,0.0488862427525219,8,4.641025641025641,68.0,0.02752924666639117,4,3.296511627906977,239.0,0.002356696849624773,7,6.684981684981685,199.0,-0.010416574702528408,4,2.902439024390244,74.0,0.0488862427525219,11,5.897435897435898,68.0,0.032099137676485444,4,3.296511627906977,239.0,0.002356696849624773,7,6.670329670329671,189.0,-0.005484842375671657,4,2.902439024390244,74.0,0.0488862427525219,11,5.8,76.0,0.03796101609077327,4,3.296511627906977,239.0,0.002356696849624773,7,6.670329670329671,189.0,-0.006133599758746728,4,2.902439024390244,74.0,0.0488862427525219,10,5.586538461538462,76.0,0.03481191207730845
12,,,127,0.03336663924375231,4,3.436046511627907,259.0,0.005460846078539567,7,6.684981684981685,199.0,-0.010416574702528408,4,2.909090909090909,76.0,0.049989055327010284,10,5.9375,68.0,0.0386207761846553,4,3.436046511627907,259.0,0.005460846078539567,7,6.649635036496351,194.0,-0.012090828031098504,4,2.909090909090909,76.0,0.049989055327010284,8,5.125,72.0,0.04369893451362794,4,3.436046511627907,259.0,0.005460846078539567,7,6.670329670329671,189.0,-0.005484842375671657,4,2.909090909090909,76.0,0.049989055327010284,7,4.536842105263158,85.0,0.039398023524004504,4,3.436046511627907,259.0,0.005460846078539567,7,6.664233576642336,204.0,-0.02199205631081387,4,2.909090909090909,76.0,0.049989055327010284,7,4.772277227722772,81.0,0.033236290100576285,4,3.436046511627907,259.0,0.005460846078539567,7,6.705882352941177,194.0,-0.002996912707140436,4,2.909090909090909,76.0,0.049989055327010284,10,5.636363636363637,77.0,0.032341714440673665,4,3.436046511627907,259.0,0.005460846078539567,7,6.635036496350365,194.0,-0.012178569465620499,4,2.909090909090909,76.0,0.049989055327010284,9,5.427184466019417,80.0,0.037715237876054415,4,3.436046511627907,259.0,0.005460846078539567,7,6.664233576642336,194.0,-0.02212347484918042,4,2.909090909090909,76.0,0.049989055327010284,8,4.617283950617284,71.0,0.027516912241221943,4,3.436046511627907,259.0,0.005460846078539567,7,6.684981684981685,199.0,-0.010416574702528408,4,2.909090909090909,76.0,0.049989055327010284,11,5.790123456790123,71.0,0.043430387504134534,4,3.436046511627907,259.0,0.005460846078539567,7,6.670329670329671,189.0,-0.005484842375671657,4,2.909090909090909,76.0,0.049989055327010284,11,5.708333333333333,79.0,0.03705231822002935,4,3.436046511627907,259.0,0.005460846078539567,7,6.670329670329671,189.0,-0.006133599758746728,4,2.909090909090909,76.0,0.049989055327010284,10,5.518867924528302,78.0,0.03605715959733502
13,,,127,0.03336663924375231,4,3.546511627906977,259.0,0.005460846078539567,7,6.684981684981685,199.0,-0.010416574702528408,4,2.967741935483871,78.0,0.05076038076979782,10,5.8023255813953485,71.0,0.03863332703386502,4,3.546511627906977,259.0,0.005460846078539567,7,6.649635036496351,194.0,-0.012090828031098504,4,2.967741935483871,78.0,0.05076038076979782,11,5.36,75.0,0.04308209884553124,4,3.546511627906977,259.0,0.005460846078539567,7,6.670329670329671,189.0,-0.005484842375671657,4,2.967741935483871,78.0,0.05076038076979782,7,4.525773195876289,87.0,0.04500543955572565,4,3.546511627906977,259.0,0.005460846078539567,7,6.664233576642336,204.0,-0.02199205631081387,4,2.967741935483871,78.0,0.05076038076979782,7,4.709090909090909,83.0,0.030949478925525954,4,3.546511627906977,259.0,0.005460846078539567,7,6.705882352941177,194.0,-0.002996912707140436,4,2.967741935483871,78.0,0.05076038076979782,10,5.817204301075269,80.0,0.02892436646365342,4,3.546511627906977,259.0,0.005460846078539567,7,6.635036496350365,194.0,-0.012178569465620499,4,2.967741935483871,78.0,0.05076038076979782,9,5.336363636363636,83.0,0.03678102211980515,4,3.546511627906977,259.0,0.005460846078539567,7,6.664233576642336,194.0,-0.02212347484918042,4,2.967741935483871,78.0,0.05076038076979782,8,4.4941176470588236,74.0,0.02632339309102715,4,3.546511627906977,259.0,0.005460846078539567,7,6.684981684981685,199.0,-0.010416574702528408,4,2.967741935483871,78.0,0.05076038076979782,11,5.761904761904762,74.0,0.04227907360769614,4,3.546511627906977,259.0,0.005460846078539567,7,6.670329670329671,189.0,-0.005484842375671657,4,2.967741935483871,78.0,0.05076038076979782,11,5.656565656565657,82.0,0.037461526614750065,4,3.546511627906977,259.0,0.005460846078539567,7,6.670329670329671,189.0,-0.006133599758746728,4,2.967741935483871,78.0,0.05076038076979782,10,5.5092592592592595,80.0,0.036002386545579496
14,,,127,0.03336663924375231,5,3.5959302325581395,274.0,0.005785098477380404,7,6.684981684981685,199.0,-0.010416574702528408,4,3.020408163265306,79.0,0.051542021169368776,10,5.722222222222222,74.0,0.039451297450366136,5,3.5959302325581395,274.0,0.005785098477380404,7,6.649635036496351,194.0,-0.012090828031098504,4,3.020408163265306,79.0,0.051542021169368776,11,5.294117647058823,77.0,0.04190849720612496,5,3.5959302325581395,274.0,0.005785098477380404,7,6.670329670329671,189.0,-0.005484842375671657,4,3.020408163265306,79.0,0.051542021169368776,7,4.425742574257426,89.0,0.043852608335279625,5,3.5959302325581395,274.0,0.005785098477380404,7,6.664233576642336,204.0,-0.02199205631081387,4,3.020408163265306,79.0,0.051542021169368776,7,4.660714285714286,85.0,0.02890183130185563,5,3.5959302325581395,274.0,0.005785098477380404,7,6.705882352941177,194.0,-0.002996912707140436,4,3.020408163265306,79.0,0.051542021169368776,10,5.828282828282828,83.0,0.030682683952210483,5,3.5959302325581395,274.0,0.005785098477380404,7,6.635036496350365,194.0,-0.012178569465620499,4,3.020408163265306,79.0,0.051542021169368776,9,5.38135593220339,85.0,0.037993771148050595,5,3.5959302325581395,274.0,0.005785098477380404,7,6.664233576642336,194.0,-0.02212347484918042,4,3.020408163265306,79.0,0.051542021169368776,8,4.382022471910112,77.0,0.025590448507788736,5,3.5959302325581395,274.0,0.005785098477380404,7,6.684981684981685,199.0,-0.010416574702528408,4,3.020408163265306,79.0,0.051542021169368776,11,5.681818181818182,77.0,0.0419827745641498,5,3.5959302325581395,274.0,0.005785098477380404,7,6.670329670329671,189.0,-0.005484842375671657,4,3.020408163265306,79.0,0.051542021169368776,11,5.607843137254902,85.0,0.033869921416036765,5,3.5959302325581395,274.0,0.005785098477380404,7,6.670329670329671,189.0,-0.006133599758746728,4,3.020408163265306,79.0,0.051542021169368776,10,5.75,82.0,0.03504209263488668
15,,,127,0.03336663924375231,5,3.633720930232558,289.0,0.02301340115980671,7,6.684981684981685,199.0,-0.010416574702528408,4,3.01980198019802,80.0,0.05023259939076975,10,5.666666666666667,77.0,0.04196408328735312,5,3.633720930232558,289.0,0.02301340115980671,7,6.649635036496351,194.0,-0.012090828031098504,4,3.01980198019802,80.0,0.05023259939076975,11,5.230769230769231,79.0,0.0413325771576045,5,3.633720930232558,289.0,0.02301340115980671,7,6.670329670329671,189.0,-0.005484842375671657,4,3.01980198019802,80.0,0.05023259939076975,8,4.561904761904762,91.0,0.04557151750562541,5,3.633720930232558,289.0,0.02301340115980671,7,6.664233576642336,204.0,-0.02199205631081387,4,3.01980198019802,80.0,0.05023259939076975,7,4.614035087719298,87.0,0.0318401182113526,5,3.633720930232558,289.0,0.02301340115980671,7,6.705882352941177,194.0,-0.002996912707140436,4,3.01980198019802,80.0,0.05023259939076975,10,5.892156862745098,86.0,0.029382311443490114,5,3.633720930232558,289.0,0.02301340115980671,7,6.635036496350365,194.0,-0.012178569465620499,4,3.01980198019802,80.0,0.05023259939076975,9,5.325,87.0,0.03791099357728675,5,3.633720930232558,289.0,0.02301340115980671,7,6.664233576642336,194.0,-0.02212347484918042,4,3.01980198019802,80.0,0.05023259939076975,8,4.304347826086956,80.0,0.026457954575209004,5,3.633720930232558,289.0,0.02301340115980671,7,6.684981684981685,199.0,-0.010416574702528408,4,3.01980198019802,80.0,0.05023259939076975,11,5.56043956043956,80.0,0.044220183540513325,5,3.633720930232558,289.0,0.02301340115980671,7,6.670329670329671,189.0,-0.005484842375671657,4,3.01980198019802,80.0,0.05023259939076975,11,5.672897196261682,88.0,0.03183943917111984,5,3.633720930232558,289.0,0.02301340115980671,7,6.670329670329671,189.0,-0.006133599758746728,4,3.01980198019802,80.0,0.05023259939076975,10,5.737288135593221,84.0,0.03550926133988315
