,max-rule-length,weighted-avg-length,objective-value,total-coverage-mistake-objective-value,coverage-cost-objective-value,total-coverage-cost-objective-value,per-cluster-coverage,per-rule-mistakes,total-coverage,per-rule-clustering-cost,normalized-clustering-cost,max-rule-length,weighted-avg-length,objective-value,total-coverage-mistake-objective-value,coverage-cost-objective-value,total-coverage-cost-objective-value,per-cluster-coverage,per-rule-mistakes,total-coverage,per-rule-clustering-cost,normalized-clustering-cost,max-rule-length,weighted-avg-length,objective-value,total-coverage-mistake-objective-value,coverage-cost-objective-value,total-coverage-cost-objective-value,per-cluster-coverage,per-rule-mistakes,total-coverage,per-rule-clustering-cost,normalized-clustering-cost,max-rule-length,weighted-avg-length,objective-value,total-coverage-mistake-objective-value,coverage-cost-objective-value,total-coverage-cost-objective-value,per-cluster-coverage,per-rule-mistakes,total-coverage,per-rule-clustering-cost,normalized-clustering-cost,max-rule-length,weighted-avg-length,objective-value,total-coverage-mistake-objective-value,coverage-cost-objective-value,total-coverage-cost-objective-value,per-cluster-coverage,per-rule-mistakes,total-coverage,per-rule-clustering-cost,normalized-clustering-cost,max-rule-length,weighted-avg-length,objective-value,total-coverage-mistake-objective-value,coverage-cost-objective-value,total-coverage-cost-objective-value,per-cluster-coverage,per-rule-mistakes,total-coverage,per-rule-clustering-cost,normalized-clustering-cost,max-rule-length,weighted-avg-length,objective-value,total-coverage-mistake-objective-value,coverage-cost-objective-value,total-coverage-cost-objective-value,per-cluster-coverage,per-rule-mistakes,total-coverage,per-rule-clustering-cost,normalized-clustering-cost,max-rule-length,weighted-avg-length,objective-value,total-coverage-mistake-objective-value,coverage-cost-objective-value,total-coverage-cost-objective-value,per-cluster-coverage,per-rule-mistakes,total-coverage,per-rule-clustering-cost,normalized-clustering-cost,max-rule-length,weighted-avg-length,objective-value,total-coverage-mistake-objective-value,coverage-cost-objective-value,total-coverage-cost-objective-value,per-cluster-coverage,per-rule-mistakes,total-coverage,per-rule-clustering-cost,normalized-clustering-cost
14,,,,,,,,,,,3.2330779648060086,6,3.9825581395348837,326.0,335.0,-3789.0280230760836,-3780.0280230760836,335,9,344,4124.028023076084,3.268918489288015,5,3.6143790849673203,268.0,306.0,-4153.615111063973,-4115.615111063973,306,38,344,4459.615111063973,3.3362509168355596,6,4.924418604651163,316.0,330.0,-3723.4934173550964,-3709.4934173550964,330,14,344,4053.4934173550964,3.2461836904921215,4,3.011627906976744,254.0,299.0,-4087.7971308431815,-4042.7971308431815,299,45,344,4386.797130843182,3.3140701729984294,2,2.0,198.0,213.0,-4672.342370875506,-4657.342370875506,240,42,255,4912.342370875506,3.403661812281004,2,2.0,198.0,224.0,-5321.459223402974,-5295.459223402974,256,58,282,5577.459223402974,3.3691803290031634,0,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
15,,,,,,,,,,,3.2330779648060086,6,4.258720930232558,326.0,335.0,-3789.0280230760836,-3780.0280230760836,335,9,344,4124.028023076084,3.268918489288015,5,3.6143790849673203,268.0,306.0,-4153.615111063973,-4115.615111063973,306,38,344,4459.615111063973,3.3362509168355596,7,4.953488372093023,320.0,332.0,-3710.906297676662,-3698.906297676662,332,12,344,4042.906297676662,3.242061377164987,4,3.011627906976744,254.0,299.0,-4087.7971308431815,-4042.7971308431815,299,45,344,4386.797130843182,3.3140701729984294,2,2.0,198.0,213.0,-4672.342370875506,-4657.342370875506,240,42,255,4912.342370875506,3.403661812281004,2,2.0,198.0,224.0,-5321.459223402974,-5295.459223402974,256,58,282,5577.459223402974,3.3691803290031634,0,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
16,,,,,,,,,,,3.2330779648060086,7,4.517441860465116,328.0,336.0,-3787.822884875117,-3779.822884875117,336,8,344,4123.822884875117,3.268621106334971,5,3.6143790849673203,268.0,306.0,-4153.615111063973,-4115.615111063973,306,38,344,4459.615111063973,3.3362509168355596,7,5.232558139534884,322.0,333.0,-3700.2717636266807,-3689.2717636266807,333,11,344,4033.2717636266807,3.2384671356406494,4,3.011627906976744,254.0,299.0,-4087.7971308431815,-4042.7971308431815,299,45,344,4386.797130843182,3.3140701729984294,2,2.0,198.0,213.0,-4672.342370875506,-4657.342370875506,240,42,255,4912.342370875506,3.403661812281004,2,2.0,198.0,224.0,-5321.459223402974,-5295.459223402974,256,58,282,5577.459223402974,3.3691803290031634,0,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
17,,,,,,,,,,,3.2330779648060086,7,4.630813953488372,330.0,337.0,-3784.140743461233,-3777.140743461233,337,7,344,4121.140743461233,3.267500114864738,5,3.6143790849673203,268.0,306.0,-4153.615111063973,-4115.615111063973,306,38,344,4459.615111063973,3.3362509168355596,8,5.508720930232558,326.0,335.0,-3692.7539974055126,-3683.7539974055126,335,9,344,4027.7539974055126,3.2371910496220253,4,3.011627906976744,254.0,299.0,-4087.7971308431815,-4042.7971308431815,299,45,344,4386.797130843182,3.3140701729984294,2,2.0,198.0,213.0,-4672.342370875506,-4657.342370875506,240,42,255,4912.342370875506,3.403661812281004,2,2.0,198.0,224.0,-5321.459223402974,-5295.459223402974,256,58,282,5577.459223402974,3.3691803290031634,0,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
18,,,,,,,,,,,3.2330779648060086,7,4.723837209302325,332.0,338.0,-3770.2315453033443,-3764.2315453033443,338,6,344,4108.231545303344,3.2626207213490837,5,3.6143790849673203,268.0,306.0,-4153.615111063973,-4115.615111063973,306,38,344,4459.615111063973,3.3362509168355596,8,5.625,328.0,336.0,-3686.5060818385,-3678.5060818385,336,8,344,4022.5060818385,3.23480391199731,4,3.011627906976744,254.0,299.0,-4087.7971308431815,-4042.7971308431815,299,45,344,4386.797130843182,3.3140701729984294,2,2.0,198.0,213.0,-4672.342370875506,-4657.342370875506,240,42,255,4912.342370875506,3.403661812281004,2,2.0,198.0,224.0,-5321.459223402974,-5295.459223402974,256,58,282,5577.459223402974,3.3691803290031634,0,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
19,,,,,,,,,,,3.2330779648060086,7,4.741279069767442,336.0,340.0,-3766.601606834798,-3762.601606834798,340,4,344,4106.601606834798,3.2621980392912,5,3.6143790849673203,268.0,306.0,-4153.615111063973,-4115.615111063973,306,38,344,4459.615111063973,3.3362509168355596,9,5.895348837209302,330.0,337.0,-3680.5588741121437,-3673.5588741121437,337,7,344,4017.5588741121437,3.2338799185133844,4,3.011627906976744,254.0,299.0,-4087.7971308431815,-4042.7971308431815,299,45,344,4386.797130843182,3.3140701729984294,2,2.0,198.0,213.0,-4672.342370875506,-4657.342370875506,240,42,255,4912.342370875506,3.403661812281004,2,2.0,198.0,224.0,-5321.459223402974,-5295.459223402974,256,58,282,5577.459223402974,3.3691803290031634,0,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
20,,,,,,,,,,,3.2330779648060086,7,4.752906976744186,338.0,341.0,-3771.2513890916925,-3768.2513890916925,341,3,344,4112.2513890916925,3.2626425859065407,5,3.6143790849673203,268.0,306.0,-4153.615111063973,-4115.615111063973,306,38,344,4459.615111063973,3.3362509168355596,9,6.005813953488372,332.0,338.0,-3677.8667907143417,-3671.8667907143417,338,6,344,4015.8667907143417,3.234964118468681,4,3.011627906976744,254.0,299.0,-4087.7971308431815,-4042.7971308431815,299,45,344,4386.797130843182,3.3140701729984294,2,2.0,198.0,213.0,-4672.342370875506,-4657.342370875506,240,42,255,4912.342370875506,3.403661812281004,2,2.0,198.0,224.0,-5321.459223402974,-5295.459223402974,256,58,282,5577.459223402974,3.3691803290031634,0,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
21,,,,,,,,,,,3.2330779648060086,7,4.7645348837209305,340.0,342.0,-3739.58683962742,-3737.58683962742,342,2,344,4081.58683962742,3.253633419745363,5,3.6143790849673203,268.0,306.0,-4153.615111063973,-4115.615111063973,306,38,344,4459.615111063973,3.3362509168355596,9,6.011627906976744,334.0,339.0,-3675.2325651797955,-3670.2325651797955,339,5,344,4014.2325651797955,3.233758807175028,4,3.011627906976744,254.0,299.0,-4087.7971308431815,-4042.7971308431815,299,45,344,4386.797130843182,3.3140701729984294,2,2.0,198.0,213.0,-4672.342370875506,-4657.342370875506,240,42,255,4912.342370875506,3.403661812281004,2,2.0,198.0,224.0,-5321.459223402974,-5295.459223402974,256,58,282,5577.459223402974,3.3691803290031634,0,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
22,,,,,,,,,,,3.2330779648060086,7,4.773255813953488,342.0,343.0,-3704.8956748805667,-3703.8956748805667,343,1,344,4047.8956748805667,3.243542354969622,5,3.6143790849673203,268.0,306.0,-4153.615111063973,-4115.615111063973,306,38,344,4459.615111063973,3.3362509168355596,10,6.27906976744186,336.0,340.0,-3673.1770100349704,-3669.1770100349704,340,4,344,4013.1770100349704,3.233637525061833,4,3.011627906976744,254.0,299.0,-4087.7971308431815,-4042.7971308431815,299,45,344,4386.797130843182,3.3140701729984294,2,2.0,198.0,213.0,-4672.342370875506,-4657.342370875506,240,42,255,4912.342370875506,3.403661812281004,2,2.0,198.0,224.0,-5321.459223402974,-5295.459223402974,256,58,282,5577.459223402974,3.3691803290031634,0,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
23,,,,,,,,,,,3.2330779648060086,8,4.77906976744186,344.0,344.0,-3667.358181556152,-3667.358181556152,344,0,344,4011.358181556152,3.2330779648060086,5,3.6143790849673203,268.0,306.0,-4153.615111063973,-4115.615111063973,306,38,344,4459.615111063973,3.3362509168355596,10,6.3023255813953485,340.0,342.0,-3670.13770308084,-3668.13770308084,342,2,344,4012.13770308084,3.233380683934445,4,3.011627906976744,254.0,299.0,-4087.7971308431815,-4042.7971308431815,299,45,344,4386.797130843182,3.3140701729984294,2,2.0,198.0,213.0,-4672.342370875506,-4657.342370875506,240,42,255,4912.342370875506,3.403661812281004,2,2.0,198.0,224.0,-5321.459223402974,-5295.459223402974,256,58,282,5577.459223402974,3.3691803290031634,0,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
24,,,,,,,,,,,3.2330779648060086,8,4.77906976744186,344.0,344.0,-3667.358181556152,-3667.358181556152,344,0,344,4011.358181556152,3.2330779648060086,5,3.6143790849673203,268.0,306.0,-4153.615111063973,-4115.615111063973,306,38,344,4459.615111063973,3.3362509168355596,11,6.566860465116279,342.0,343.0,-3668.932564879872,-3667.932564879872,343,1,344,4011.932564879872,3.233107173496776,4,3.011627906976744,254.0,299.0,-4087.7971308431815,-4042.7971308431815,299,45,344,4386.797130843182,3.3140701729984294,2,2.0,198.0,213.0,-4672.342370875506,-4657.342370875506,240,42,255,4912.342370875506,3.403661812281004,2,2.0,198.0,224.0,-5321.459223402974,-5295.459223402974,256,58,282,5577.459223402974,3.3691803290031634,0,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
25,,,,,,,,,,,3.2330779648060086,8,4.77906976744186,344.0,344.0,-3667.358181556152,-3667.358181556152,344,0,344,4011.358181556152,3.2330779648060086,5,3.6143790849673203,268.0,306.0,-4153.615111063973,-4115.615111063973,306,38,344,4459.615111063973,3.3362509168355596,12,6.828488372093023,342.0,343.0,-3668.932564879872,-3667.932564879872,343,1,344,4011.932564879872,3.233107173496776,4,3.011627906976744,254.0,299.0,-4087.7971308431815,-4042.7971308431815,299,45,344,4386.797130843182,3.3140701729984294,2,2.0,198.0,213.0,-4672.342370875506,-4657.342370875506,240,42,255,4912.342370875506,3.403661812281004,2,2.0,198.0,224.0,-5321.459223402974,-5295.459223402974,256,58,282,5577.459223402974,3.3691803290031634,0,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
26,,,,,,,,,,,3.2330779648060086,8,4.77906976744186,344.0,344.0,-3667.358181556152,-3667.358181556152,344,0,344,4011.358181556152,3.2330779648060086,5,3.6143790849673203,268.0,306.0,-4153.615111063973,-4115.615111063973,306,38,344,4459.615111063973,3.3362509168355596,13,7.063953488372093,342.0,343.0,-3668.932564879872,-3667.932564879872,343,1,344,4011.932564879872,3.233107173496776,4,3.011627906976744,254.0,299.0,-4087.7971308431815,-4042.7971308431815,299,45,344,4386.797130843182,3.3140701729984294,2,2.0,198.0,213.0,-4672.342370875506,-4657.342370875506,240,42,255,4912.342370875506,3.403661812281004,2,2.0,198.0,224.0,-5321.459223402974,-5295.459223402974,256,58,282,5577.459223402974,3.3691803290031634,0,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
