,IMM,RandomIMM,CART,Unsupervised,Unsupervised Obl.,Centroid,Centroid Obl.
1,221.64282983612077,221.15272228279048,221.31826594457,221.15272228279048,217.36598251229225,221.15272228279048,217.36598251229225
2,221.64282983612077,221.15272228279048,219.85962302290784,221.15272228279045,217.36598251229225,217.84714108398578,216.15875149346482
3,221.64282983612077,221.15272228279048,216.7783251887625,221.15272228279045,217.36598251229225,216.91481577253154,215.83831972044857
4,221.64282983612077,221.15272228279048,216.24249418412256,221.15272228279045,217.36598251229225,216.34570241626193,215.83831972044854
5,221.64282983612077,221.15272228279048,215.83831972044854,220.06851530316808,217.39997311409326,216.3457024162619,215.83831972044854
6,221.64282983612077,221.15272228279048,215.83831972044854,220.86850724729337,217.39997311409326,216.3457024162619,215.83831972044854
7,221.64282983612077,221.15272228279048,215.83831972044854,220.86850724729337,217.39997311409326,216.3457024162619,215.8383197204485
8,221.64282983612077,221.15272228279048,215.83831972044854,220.86850724729337,217.39997311409326,216.26705396211517,215.83831972044854
9,221.64282983612077,221.15272228279048,215.83831972044854,220.86850724729337,217.39997311409326,216.15446964306048,215.83831972044854
10,221.64282983612077,221.15272228279048,215.83831972044854,220.86850724729337,217.39997311409326,216.34570241626193,215.83831972044857
