,max-rule-length,weighted-avg-length,coverage-mistake-score,silhouette-score,clustering-distance,max-rule-length,weighted-avg-length,coverage-mistake-score,silhouette-score,clustering-distance,max-rule-length,weighted-avg-length,coverage-mistake-score,silhouette-score,clustering-distance,max-rule-length,weighted-avg-length,coverage-mistake-score,silhouette-score,clustering-distance,max-rule-length,weighted-avg-length,coverage-mistake-score,silhouette-score,clustering-distance
,Agglomerative,Agglomerative,Agglomerative,Agglomerative,Agglomerative,Decision-Tree,Decision-Tree,Decision-Tree,Decision-Tree,Decision-Tree,Exp-Tree,Exp-Tree,Exp-Tree,Exp-Tree,Exp-Tree,CBA,CBA,CBA,CBA,CBA,DSCluster,DSCluster,DSCluster,DSCluster,DSCluster
,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3
6,,,7195,0.44769841657648196,0.0,3,2.000972897845726,7190.0,0.49480464045450806,3.863925675071285e-08,5,4.998609952738393,7190.0,0.4508177955204192,0.00027781625603762536,,,,,,1,1.0,7183.0,,0.001110917270839745
7,,,7195,0.44769841657648196,0.0,4,2.001250868658791,7195.0,0.44769841657648196,0.0,5,4.998609952738393,7190.0,0.4508177955204192,0.00027781625603762536,,,,,,1,1.0,7183.0,,0.001110917270839745
8,,,7195,0.44769841657648196,0.0,4,2.001250868658791,7195.0,0.44769841657648196,0.0,5,4.998609952738393,7190.0,0.4508177955204192,0.00027781625603762536,,,,,,1,1.0,7183.0,,0.001110917270839745
9,,,7195,0.44769841657648196,0.0,4,2.001250868658791,7195.0,0.44769841657648196,0.0,5,4.998609952738393,7190.0,0.4508177955204192,0.00027781625603762536,,,,,,1,1.0,7183.0,,0.001110917270839745
10,,,7195,0.44769841657648196,0.0,4,2.001250868658791,7195.0,0.44769841657648196,0.0,5,4.998609952738393,7190.0,0.4508177955204192,0.00027781625603762536,,,,,,1,1.0,7183.0,,0.001110917270839745
11,,,7195,0.44769841657648196,0.0,4,2.001250868658791,7195.0,0.44769841657648196,0.0,5,4.998609952738393,7190.0,0.4508177955204192,0.00027781625603762536,,,,,,1,1.0,7183.0,,0.001110917270839745
12,,,7195,0.44769841657648196,0.0,4,2.001250868658791,7195.0,0.44769841657648196,0.0,5,4.998609952738393,7190.0,0.4508177955204192,0.00027781625603762536,,,,,,1,1.0,7183.0,,0.001110917270839745
13,,,7195,0.44769841657648196,0.0,4,2.001250868658791,7195.0,0.44769841657648196,0.0,5,4.998609952738393,7190.0,0.4508177955204192,0.00027781625603762536,,,,,,1,1.0,7183.0,,0.001110917270839745
14,,,7195,0.44769841657648196,0.0,4,2.001250868658791,7195.0,0.44769841657648196,0.0,5,4.998609952738393,7190.0,0.4508177955204192,0.00027781625603762536,,,,,,1,1.0,7183.0,,0.001110917270839745
15,,,7195,0.44769841657648196,0.0,4,2.001250868658791,7195.0,0.44769841657648196,0.0,5,4.998609952738393,7190.0,0.4508177955204192,0.00027781625603762536,,,,,,1,1.0,7183.0,,0.001110917270839745
16,,,7195,0.44769841657648196,0.0,4,2.001250868658791,7195.0,0.44769841657648196,0.0,5,4.998609952738393,7190.0,0.4508177955204192,0.00027781625603762536,,,,,,1,1.0,7183.0,,0.001110917270839745
17,,,7195,0.44769841657648196,0.0,4,2.001250868658791,7195.0,0.44769841657648196,0.0,5,4.998609952738393,7190.0,0.4508177955204192,0.00027781625603762536,,,,,,1,1.0,7183.0,,0.001110917270839745
18,,,7195,0.44769841657648196,0.0,4,2.001250868658791,7195.0,0.44769841657648196,0.0,5,4.998609952738393,7190.0,0.4508177955204192,0.00027781625603762536,,,,,,1,1.0,7183.0,,0.001110917270839745
19,,,7195,0.44769841657648196,0.0,4,2.001250868658791,7195.0,0.44769841657648196,0.0,5,4.998609952738393,7190.0,0.4508177955204192,0.00027781625603762536,,,,,,1,1.0,7183.0,,0.001110917270839745
20,,,7195,0.44769841657648196,0.0,4,2.001250868658791,7195.0,0.44769841657648196,0.0,5,4.998609952738393,7190.0,0.4508177955204192,0.00027781625603762536,,,,,,1,1.0,7183.0,,0.001110917270839745
21,,,7195,0.44769841657648196,0.0,4,2.001250868658791,7195.0,0.44769841657648196,0.0,5,4.998609952738393,7190.0,0.4508177955204192,0.00027781625603762536,,,,,,1,1.0,7183.0,,0.001110917270839745
22,,,7195,0.44769841657648196,0.0,4,2.001250868658791,7195.0,0.44769841657648196,0.0,5,4.998609952738393,7190.0,0.4508177955204192,0.00027781625603762536,,,,,,1,1.0,7183.0,,0.001110917270839745
23,,,7195,0.44769841657648196,0.0,4,2.001250868658791,7195.0,0.44769841657648196,0.0,5,4.998609952738393,7190.0,0.4508177955204192,0.00027781625603762536,,,,,,1,1.0,7183.0,,0.001110917270839745
24,,,7195,0.44769841657648196,0.0,4,2.001250868658791,7195.0,0.44769841657648196,0.0,5,4.998609952738393,7190.0,0.4508177955204192,0.00027781625603762536,,,,,,1,1.0,7183.0,,0.001110917270839745
25,,,7195,0.44769841657648196,0.0,4,2.001250868658791,7195.0,0.44769841657648196,0.0,5,4.998609952738393,7190.0,0.4508177955204192,0.00027781625603762536,,,,,,1,1.0,7183.0,,0.001110917270839745
26,,,7195,0.44769841657648196,0.0,4,2.001250868658791,7195.0,0.44769841657648196,0.0,5,4.998609952738393,7190.0,0.4508177955204192,0.00027781625603762536,,,,,,1,1.0,7183.0,,0.001110917270839745
