,IMM,RandomIMM,CART,Unsupervised,Unsupervised Obl.,Centroid,Centroid Obl.
4,,,838.0135653311501,772.7770030294353,672.7498280111605,792.1563564590349,742.1521899658678
5,,,728.3273059246783,693.1964415742793,663.1274785598773,703.6786846327849,670.075913994498
6,,866.8990335271612,686.2430510609587,690.6817537347468,667.708825741513,680.747694228123,642.6611302031646
7,,866.8990335271612,695.0850584079157,685.6681762255496,668.5278144383394,669.9874220236502,635.229490918848
8,,866.8990335271612,695.0850584079157,685.6681762255496,668.5278144383394,664.1184359837176,632.2886113405435
9,872.0769249072106,866.8990335271612,695.0850584079157,685.6681762255496,668.5278144383394,663.1614369196856,631.7367162056918
10,872.0769249072106,866.8990335271612,695.0850584079157,685.6681762255496,668.5278144383394,663.1614369196856,631.200410106377
