,k-means,IMM,RandomIMM,ExKMC,CART,Unsupervised,Unsupervised Obl.,Centroid,Centroid Obl.
10,621.5956919574128,872.0769249072106,866.8990335271612,872.0769249072106,838.589117903854,771.3260422134938,712.3941918467773,796.8414507811082,691.9963291251943
11,621.5956919574128,872.0769249072106,866.8990335271612,834.470282657366,830.6896928858964,742.8813764752323,681.9715050857607,771.5749343321361,678.014286523345
12,621.5956919574128,872.0769249072106,866.8990335271612,803.5577099127294,831.1823386067224,741.6255314112136,681.9715050857607,756.5853467018295,671.0227988452068
13,621.5956919574128,872.0769249072106,866.8990335271612,777.8193433748543,817.817879208875,736.1587004368453,676.170311688793,742.8892066675357,667.5593958329783
14,621.5956919574128,872.0769249072106,866.8990335271612,759.3069148465044,817.817879208875,727.4662894238401,676.170311688793,735.3331977620535,660.7378690497732
15,621.5956919574128,872.0769249072106,866.8990335271612,746.5699456802837,803.6457346390362,716.8982912073399,676.170311688793,726.9738462898385,654.3502220410866
16,621.5956919574128,872.0769249072106,866.8990335271612,734.3994570627776,802.3214520490917,716.8982912073399,676.170311688793,716.9238299712631,649.7663703520626
17,621.5956919574128,872.0769249072106,866.8990335271612,723.350584882392,792.153965435024,705.9406134348835,669.9885393753138,709.4107779770129,647.7135394347471
18,621.5956919574128,872.0769249072106,866.8990335271612,712.5322125189498,787.386998436044,705.9406134348835,669.9885393753138,701.9201982224241,644.6242110638533
19,621.5956919574128,872.0769249072106,866.8990335271612,706.3255745420333,754.495793214596,703.580108017442,669.9885393753138,696.337305248391,641.4126098637201
20,621.5956919574128,872.0769249072106,866.8990335271612,701.3082042336675,754.4957932145962,703.580108017442,669.9885393753138,693.0262654082219,639.9102523249966
21,621.5956919574128,872.0769249072106,866.8990335271612,696.3124621813583,753.6172383546084,703.580108017442,669.9885393753138,688.6020928293067,638.8228858567852
22,621.5956919574128,872.0769249072106,866.8990335271612,692.1086624426978,754.4245479509527,697.5697483839292,669.9885393753138,684.3742588131561,637.9113217660081
23,621.5956919574128,872.0769249072106,866.8990335271612,688.0853584669915,748.0108791137169,697.5697483839292,669.9885393753138,682.0057009549835,637.0038186399138
24,621.5956919574128,872.0769249072106,866.8990335271612,684.4629650268685,746.4259992065364,697.5697483839292,669.9885393753138,678.9933470552137,636.2654416609575
25,621.5956919574128,872.0769249072106,866.8990335271612,681.0796643904154,723.1808267513421,697.5697483839292,669.9885393753138,675.7999835969362,635.4623963052036
26,621.5956919574128,872.0769249072106,866.8990335271612,677.903115763402,716.6889075232308,697.5697483839292,669.9885393753138,673.5432548730977,634.8965060202153
27,621.5956919574128,872.0769249072106,866.8990335271612,674.9730308556153,702.352066978653,697.5697483839292,669.9885393753138,670.9003653297478,634.049464958518
28,621.5956919574128,872.0769249072106,866.8990335271612,672.070294569214,701.6336987195657,691.9646147334645,669.9885393753138,668.638641804139,633.2331892528746
29,621.5956919574128,872.0769249072106,866.8990335271612,669.39897373308,699.4990117725192,691.9646147334645,670.0901111704279,667.7924722672333,632.5384299730968
30,621.5956919574128,872.0769249072106,866.8990335271612,667.6203036826181,699.4990117725192,685.6681762255496,670.0901111704279,665.806898965203,632.0154708259811
31,621.5956919574128,872.0769249072106,866.8990335271612,665.9659666824258,699.8553958942508,685.6681762255496,668.5278144383394,664.2265457219714,631.6122021453033
32,621.5956919574128,872.0769249072106,866.8990335271612,664.3116394566752,695.0850584079157,685.6681762255496,668.5278144383394,663.1614369196856,631.200410106377
