,k-means,IMM,RandomIMM,ExKMC,CART,Unsupervised,Unsupervised Obl.,Centroid,Centroid Obl.
8,825.4688711203945,955.0034595755657,969.1695012565574,955.0034595755657,898.0503464198482,896.785257935887,905.5205115027189,918.5866562927201,910.0872946140938
9,825.4688711203945,955.0034595755657,969.1695012565574,944.3532630277916,894.5640300847283,908.2425435945335,905.5205115027189,908.1071614025996,897.4848214325481
10,825.4688711203945,955.0034595755657,969.1695012565574,933.7060759510994,890.0821727654015,908.2425435945335,881.068437663051,896.5173723394084,878.763705192677
11,825.4688711203945,955.0034595755657,969.1695012565574,924.9300126186753,881.9327851120922,890.1702840705985,881.068437663051,893.3589712522818,869.2100390645477
12,825.4688711203945,955.0034595755657,969.1695012565574,916.5866164177766,877.8676586052383,890.1702840705985,871.6841652917324,886.9977748243494,863.94586163108
13,825.4688711203945,955.0034595755657,969.1695012565574,908.5945656270596,875.1776542761368,882.0028881009664,871.6841652917324,880.6097942080168,859.1441492705455
14,825.4688711203945,955.0034595755657,969.1695012565574,901.6454282189795,873.1508150877752,882.0028881009664,871.6841652917324,879.1819040801532,856.7542387563554
15,825.4688711203945,955.0034595755657,969.1695012565574,895.8228663263249,869.4657783658788,889.4072918754792,871.6841652917324,879.5352892198617,852.0599961622181
16,825.4688711203945,955.0034595755657,969.1695012565574,890.2992760103268,870.9288452254712,889.4072918754792,875.1191524814733,876.0526855927557,848.6174435088922
17,825.4688711203945,955.0034595755657,969.1695012565574,884.9187958569069,869.7695128954438,889.4072918754792,877.5046619874825,872.4113797057639,844.972906935224
18,825.4688711203945,955.0034595755657,969.1695012565574,879.9447623990851,868.8779010897915,880.9136199644673,877.5046619874825,869.5026253764768,843.2168823515703
19,825.4688711203945,955.0034595755657,969.1695012565574,875.2722239479349,867.6174363782518,880.2012039836885,877.5046619874825,869.4649235565425,841.3779704466982
20,825.4688711203945,955.0034595755657,969.1695012565574,870.6677347227803,866.3025903315176,880.2012039836885,875.8659218108153,866.1506241665278,839.6794015548124
21,825.4688711203945,955.0034595755657,969.1695012565574,866.9778285894092,864.2986101077872,880.2012039836885,875.8659218108153,863.2769901145991,838.6703796463112
22,825.4688711203945,955.0034595755657,969.1695012565574,863.875654884107,863.6654518532666,880.2012039836885,875.1723398316453,861.8864996432014,837.4790740497649
23,825.4688711203945,955.0034595755657,969.1695012565574,860.7966500923417,863.1474401156522,882.4702576211456,875.1723398316454,859.0425679107184,836.4138983831529
24,825.4688711203945,955.0034595755657,969.1695012565574,857.786809669771,860.92522892139,882.4702576211456,875.1723398316454,857.849450091184,835.3832084894143
25,825.4688711203945,955.0034595755657,969.1695012565574,855.5875268037537,861.4432406590043,882.4702576211456,875.1723398316454,857.0980459807861,834.4415415870264
26,825.4688711203945,955.0034595755657,969.1695012565574,853.7840425224097,855.8764806435865,882.4702576211456,873.7619131475672,855.2995782150763,833.6287990504047
27,825.4688711203945,955.0034595755657,969.1695012565574,852.105343124782,855.9824140566881,882.4702576211456,870.537288445838,853.137310327676,833.6287990504047
28,825.4688711203945,955.0034595755657,969.1695012565574,850.5961527361657,855.9824140566881,879.9458021890778,870.537288445838,851.0441092274152,833.0572156340609
29,825.4688711203945,955.0034595755657,969.1695012565574,849.1154559838055,855.1501185737714,879.9458021890778,870.537288445838,849.6774963422436,832.4472062475465
30,825.4688711203945,955.0034595755657,969.1695012565574,847.7403691219158,853.1437795726782,880.4817787348111,870.537288445838,848.4924728221143,831.8537113009509
31,825.4688711203945,955.0034595755657,969.1695012565574,846.4725409692651,847.0357872156122,880.4817787348111,864.4561433059002,846.9303978172273,831.3442316013299
32,825.4688711203945,955.0034595755657,969.1695012565574,845.3445775680241,847.0357872156122,881.9743701364006,864.4561433059002,845.5277009606484,830.8844518320386
