,standard,standard,standard,standard,standard,normalized,normalized,normalized,normalized,normalized,normalized_v2,normalized_v2,normalized_v2,normalized_v2,normalized_v2
,KMeans,ExKMC,Forest,Forest-Cluster-Vote,Forest-Cluster-Min,KMeans,ExKMC,Forest,Forest-Cluster-Vote,Forest-Cluster-Min,KMeans,ExKMC,Forest,Forest-Cluster-Vote,Forest-Cluster-Min
0,105.52725328919827,121.44990223824477,115.28116373350171,123.10145111253901,127.8902725071898,0.012781886299563745,0.014710501724593601,0.013248278181035942,0.014953811620656371,0.014624514208815673,0.0008917595092718891,0.001026314073808856,0.0010256731494995568,0.0011502932015889516,0.0010866512105621553
1,105.52725328919827,118.48968071168498,118.97430506672931,126.03885302373683,127.8902725071898,0.012781886299563745,0.01435194776062076,0.013137538205378713,0.014863692074562056,0.014624514208815673,0.0008917595092718891,0.0010012986809735413,0.0009884041283043546,0.0011217880810990232,0.0010866512105621553
2,105.52725328919827,116.14145335340679,111.30605169098088,127.36367455550942,121.716796740385,0.012781886299563745,0.01406752099726342,0.013095860693499578,0.015004237888267387,0.014831437215347382,0.0008917595092718891,0.0009814549532974478,0.001004155452536709,0.0011359675372820735,0.001148240300543023
3,105.52725328919827,113.79474088912997,109.84449993339831,130.30107646670726,127.45590462173216,0.012781886299563745,0.013783277723974075,0.012976800243693031,0.014914576670732841,0.014828253530059692,0.0008917595092718891,0.0009616240272540053,0.0009950262167687947,0.0011082038393114186,0.0011226438003830682
4,105.52725328919827,111.65421467619218,112.49163181372575,132.17842187251603,127.62389234678064,0.012781886299563745,0.013524008560585294,0.013124651372944914,0.014810182628616182,0.014899060981769005,0.0008917595092718891,0.000943535480971067,0.0009968089650337908,0.0010936750248824257,0.0011315742517799244
5,105.52725328919827,109.66184291856047,114.34020784340944,134.09829640390276,128.47812341492974,0.012781886299563745,0.013282684462034941,0.013201293234648167,0.015189322008217517,0.014849840699393846,0.0008917595092718891,0.000926698915955926,0.0009900969925986124,0.0011286183535517658,0.0011172293943117627
6,105.52725328919827,108.32501394273073,116.4868817052099,130.39953195363432,129.3179798882733,0.012781886299563745,0.013120762347714478,0.013314378331262653,0.015191930755374002,0.014794694673433436,0.0008917595092718891,0.0009154020242591496,0.0009862502467601964,0.0011538175257246079,0.0011027101619950387
7,105.52725328919827,107.77816291543864,117.00765804006059,129.05805799555142,124.14903643843297,0.012781886299563745,0.01305452554692813,0.013299256421108014,0.015175844205930385,0.014552148424849849,0.0008917595092718891,0.0009107808521112649,0.0009790863622901604,0.001141756303894449,0.0011193960326807576
