,standard,standard,standard,standard,standard,standard,normalized,normalized,normalized,normalized,normalized,normalized,normalized_v2,normalized_v2,normalized_v2,normalized_v2,normalized_v2,normalized_v2
,KMeans,Centroid,Forest-Vote,Forest-Vote-Pruned,Forest-Min,Forest-Min-Pruned,KMeans,Centroid,Forest-Vote,Forest-Vote-Pruned,Forest-Min,Forest-Min-Pruned,KMeans,Centroid,Forest-Vote,Forest-Vote-Pruned,Forest-Min,Forest-Min-Pruned
0,105.52984274227515,124.86922428619658,175.20727618191603,176.90818936119857,130.71645843607848,130.41890038942216,0.012782199944558521,0.015124663794355207,0.021221811553042154,0.020316114249415897,0.015832904364835088,0.015875834860973888,0.000891781391480827,0.0010552091019317585,0.0014805915037006154,0.0015284850845955532,0.0011046212347559363,0.0012134396072081954
1,105.52984274227515,112.59321903361854,157.8937508145983,158.90190793507503,124.17926518309326,123.89327157720227,0.012782199944558521,0.013637744553490618,0.019124727569597662,0.01819288471031449,0.01504109316655684,0.0149806489690368,0.000891781391480827,0.0009514705502435315,0.0013342833188091392,0.0014084813969275733,0.0010493785930155933,0.0011306150165310792
2,105.52984274227515,118.16683953650437,144.11502181532987,146.6024560536199,122.97971058992933,118.25244183169991,0.012782199944558521,0.014312843936107603,0.01745579237104286,0.017694214499454568,0.01489579827881896,0.01505563799544724,0.000891781391480827,0.0009985705071702978,0.0012178459793750834,0.0013698746709255149,0.001039241740382718,0.0011655977802926896
3,105.52984274227515,124.06772698795042,147.40231141620671,158.33237931073398,121.50824958181772,115.94845701206681,0.012782199944558521,0.015027583210749809,0.017853962138590928,0.01776509102264152,0.01471756899004575,0.015037174507562876,0.000891781391480827,0.001048436037959289,0.0012456252654830882,0.0013118836447489123,0.0010268071388404012,0.001142063886650345
