Row,coverage,max-rule-length,normalized-clustering-cost,overlap,weighted-average-rule-length
forest_depth_2,0.6402857142857142,2.0,47.3669073619458,1.2473003123605533,2.0
forest_depth_3,0.6609714285714285,3.0,39.14860542942901,1.1444626955995505,3.0
forest_depth_4,0.6013714285714286,4.0,37.574432333372656,1.0527366020524516,4.0
forest_depth_imm,0.6340571428571429,8.0,37.69712440796102,1.0423576063446287,4.614214075739236
imm,1.0,8.0,46.45854149366356,1.0,6.207828571428571
outlier,0.6,9.0,41.64152817460738,1.0,5.776571428571429
