,IMM,RandomIMM,CART,Unsupervised,Unsupervised Obl.,Centroid,Centroid Obl.
4,,,5536.98492724625,5649.9990504132475,5253.800856916499,5686.035669886727,5334.166994954097
5,,,5317.5065794348075,5350.603490142306,5174.4404884537435,5317.778456532922,5050.127558732955
6,,6289.545766916552,5235.0918624770875,5324.570673053515,5152.051808940562,5180.733112188098,4982.626461451553
7,,6289.545766916552,5239.394964322991,5324.570673053515,5122.597615643648,5117.853042666194,4957.806471011028
8,6809.426315805915,6289.545766916552,5239.394964322991,5324.570673053515,5122.597615643648,5117.853042666194,4952.416313085464
9,6809.426315805915,6289.545766916552,5239.394964322991,5324.570673053515,5122.597615643648,5117.853042666194,4949.302186330818
10,6809.426315805915,6289.545766916552,5239.394964322991,5324.570673053515,5122.597615643648,5117.853042666194,4948.107613039366
